id_documento,id_empresa,id_cliente,id_fornecedor,tipo_documento,numero_documento,serie_documento,chave_acesso,data_emissao,tipo_operacao,valor,status_documento
243,9,28.0,,CT-e,69590,5,55358512538921878519358374907977961208780572,2026-08-14,Saída,45666.34,Cancelada
244,9,,39.0,NFC-e,731244,8,76263748453986289509059119186233922071511696,2025-09-28,Entrada,11253.06,Ativa
245,9,,20.0,CT-e,102675,3,52647124633515718409080512080056409951239728,2026-05-03,Entrada,48057.52,Ativa
246,9,46.0,,NF-e,696743,6,28270908144152982173929578671815352373605079,2026-05-03,Saída,72966.99,Ativa
247,9,49.0,,NF-e,864760,7,83452734666617071587964740803149982508004635,2026-08-03,Saída,59135.5,Ativa
248,9,,33.0,NFS-e,857397,8,50317235137399006314035263560229394694346066,2026-01-13,Entrada,20423.35,Ativa
249,9,3.0,,NFC-e,775212,3,72311127128524648449411631873280771130621136,2025-10-13,Saída,35473.5,Ativa
250,9,,14.0,CT-e,389363,1,50902542573066248132357071398482285011688092,2025-12-19,Entrada,11650.22,Ativa
251,9,,1.0,NFS-e,422769,3,60906913098107964967379457727853242642506420,2026-07-23,Entrada,67242.8,Ativa
252,9,27.0,,NFC-e,25993,4,67776755562833339395786543627187496033582686,2026-01-23,Saída,31000.46,Ativa
253,9,48.0,,NFS-e,172187,7,92693265732759980111000515532341595977524418,2026-08-27,Saída,9651.55,Cancelada
254,9,11.0,,NFC-e,17730,10,88743127102676720957992707955151229462135415,2026-03-08,Saída,71305.61,Ativa
255,9,,24.0,CT-e,580215,4,43848075203447650471580290904637660465586652,2026-05-21,Entrada,39208.67,Ativa
256,9,43.0,,NFS-e,500168,4,15810213125129311005912975191023121106330165,2026-07-30,Saída,56717.36,Ativa
257,9,,31.0,NF-e,650954,7,49072801234289311325326949684364538044210175,2026-02-27,Entrada,6580.14,Ativa
258,9,1.0,,NFS-e,159375,10,15959194575757475833920567756777226602562650,2026-04-09,Saída,75694.23,Ativa
259,9,,26.0,NFS-e,556364,5,72453076248433797662705115794238736704254969,2025-10-06,Entrada,27419.56,Ativa
260,9,,24.0,NFC-e,816197,4,97107563353574859532593993379705816295187794,2025-11-15,Entrada,63344.27,Ativa
261,9,,24.0,NFC-e,583236,3,07330559782457598339914038843660443240061572,2026-08-22,Entrada,47588.84,Ativa
262,9,,18.0,NFS-e,97321,6,74397429250105875256806562590459908027112218,2026-03-27,Entrada,77791.09,Ativa
263,9,22.0,,NF-e,219981,4,17680866281372143308003700332285566084706810,2026-05-22,Saída,46702.59,Ativa
264,9,,38.0,CT-e,487308,1,58263280944858623945354614707986321061339439,2025-09-18,Entrada,51896.84,Ativa
265,9,14.0,,NF-e,312919,1,80403253765769277894319100900404769210533651,2026-08-06,Saída,71902.03,Ativa
266,9,30.0,,NF-e,916953,10,31072011379844097123166007676209014473404337,2025-12-24,Saída,66864.32,Ativa
267,9,15.0,,NFS-e,628879,6,04519577825588255629657542786561942557782058,2026-03-01,Saída,43308.84,Ativa
268,9,,37.0,NFS-e,569293,2,23616188081904823571558686395613723081721436,2026-06-02,Entrada,76133.74,Ativa
269,9,,2.0,NFC-e,796921,2,41321147165609456534699799070755047681699570,2025-09-10,Entrada,38094.77,Ativa
270,9,,16.0,NFS-e,879050,2,17653970548739610290871827496804918727420495,2026-05-11,Entrada,16090.02,Ativa
271,10,,25.0,NFS-e,127889,1,26042359737112229907756085816704686111457683,2026-01-11,Entrada,13127.23,Ativa
272,10,,29.0,NF-e,154209,3,85847129618033242605080184980425373377731268,2025-12-23,Entrada,68656.08,Ativa
273,10,,31.0,CT-e,488070,6,81923653460605603567932798623984716906181205,2026-09-02,Entrada,24419.05,Ativa
274,10,20.0,,CT-e,200193,6,78769899927517588914444983553935435864496392,2026-08-27,Saída,57067.16,Ativa
275,10,,30.0,NFC-e,625187,2,98214339527536749785249141686013477894896340,2025-12-13,Entrada,38214.18,Ativa
276,10,,9.0,NF-e,169187,2,21500141884216309001594463339994853208953263,2025-09-26,Entrada,45784.97,Ativa
277,10,32.0,,NFC-e,637017,4,11363379223410346996733116772696084376855078,2025-12-07,Saída,29962.29,Ativa
278,10,11.0,,NFS-e,887993,1,63355643436970931706955607676164534547223989,2026-01-23,Saída,78337.09,Ativa
279,10,,6.0,CT-e,759339,3,21980418472426423642813190924876230391114281,2026-09-03,Entrada,12386.94,Cancelada
280,10,,1.0,NFC-e,789142,5,52480880622072239594737213290162047876886878,2026-08-31,Entrada,41972.94,Ativa
281,10,9.0,,NF-e,310768,6,03195419666450573036279246320374767753726032,2026-08-14,Saída,4438.92,Ativa
282,10,42.0,,NFC-e,801734,9,61945887071553482012840083850765975954508917,2026-08-16,Saída,3085.24,Ativa
283,10,,10.0,CT-e,892912,8,65742231964630040236936268943012047137271175,2025-11-25,Entrada,76462.34,Ativa
284,10,41.0,,NF-e,813610,6,58298493306745847609441283337218856669541329,2026-01-06,Saída,74104.74,Ativa
285,10,28.0,,CT-e,712710,6,26705514377693663439252959611110286712007202,2026-01-25,Saída,53351.45,Ativa
286,10,,20.0,NFS-e,833839,5,51091090326714949819421794281793406527758446,2025-10-24,Entrada,53367.18,Ativa
287,10,10.0,,NFC-e,691387,6,20109121722145593766189437052635100462776572,2026-05-28,Saída,76653.6,Ativa
288,10,,1.0,CT-e,565964,8,24617520238974326005595501783325848689993607,2026-03-13,Entrada,3752.19,Ativa
289,10,38.0,,CT-e,818548,2,17679935937440394640830373606014886084907938,2026-05-09,Saída,68447.66,Cancelada
290,10,36.0,,NFC-e,701447,10,52830615370124244626325144881121031421751887,2026-07-19,Saída,22408.39,Ativa
291,10,,23.0,CT-e,18953,6,52830615370124244626325144881121031421751887,2026-05-12,Entrada,51967.6,Ativa
292,10,,21.0,CT-e,344674,3,71219881927788519053486401042462456185174460,2026-02-03,Entrada,57001.66,Ativa
293,10,,24.0,CT-e,167521,10,11455129391304488189848416046154021190170756,2026-04-01,Entrada,75184.64,Ativa
294,10,,6.0,NF-e,426244,10,11455129391304488189848416046154021190170756,2026-02-06,Entrada,15454.96,Ativa
295,10,,37.0,NFC-e,52310,5,29132033016234190310615372215566847323653377,2025-12-27,Entrada,443.98,Ativa
296,10,,4.0,NF-e,286015,9,78436142442607819754373476427372037638821458,2026-04-12,Entrada,63997.01,Ativa
297,10,,5.0,CT-e,375216,8,91344389982780205869507321464493699951679335,2026-02-14,Entrada,60762.34,Ativa
298,10,15.0,,CT-e,568358,3,68011923603768118723335104096149731539114983,2025-10-22,Saída,52652.3,Ativa
299,10,,32.0,NFC-e,162406,2,36511893940655782019043223023332470739201354,2026-04-30,Entrada,66722.85,Ativa
300,10,1.0,,NFC-e,973289,2,25082611231261632488899572989376297454930364,2026-04-04,Saída,70003.03,Ativa
